Field,Source,Order,Available,API Field Name,New?,Field Editability,Data Type,Help Text,Custom Logic,Field Visibility,Location of Field
Brex EE Count ,Rollup,0,Brex EE Count,Brex_EE_Count_number__c,YES,Rollup view - LOCKED- NOT Editable,Formula,SoT for ee count on the account. Not editable. View the ee count input fields in order to verify source.,,Visible to all,Screenshot
,Retool,,Retool Override EE Count,Retool_Override_EE_Count__c field.,,Editable only by admins,Number,Employee Count that's defined by the Retool app experience.,,Visible to all,
,Manual,1,SFDC Override Employee Count,SFDC_Override_Employee_Count__c,,**Existing override field - only editable by admins/managers,Number,"If you think the ee count displaying on the account is incorrect, please file a #frontline ticket or report it to your manager in order to have it updated",,Visible to all,Screenshot
,OBS EE Count,2,OBS EE Count,OBS_EE_Count__c,,,,,,,
,Zoominfo,3,ZoomInfo EE Count,ZoomInfo_EE_Count__c,,Editable only by admins,,Employee Count from ZoomInfo (does not include part-time or contract employees),,Visible to all,No change
,Harmonic,4,Harmonic EE Count,Harmonic_EE_Count__c,,Editable only by admins,,Employee Count from Harmonic,,Visible to all,No change
,LinkedIn,5,LinkedIn EE Count,LinkedIn_EE_Count__c,YES,Editable only by admins,Number,Employee Count from LinkedIn,,Visible to all,Screenshot
,Clay,6,Clay EE Count,Clay_EE_Count__c,YES,Editable only by admins,Number,"This ee count is generated by one of the Clay data providers. To investigate the true source, please log in to Clay or reach out to summer_lindman@brex.com",,Visible to all,"On ""other information"" - create ""Clay"" section below YC/Techstars. Screenshot"
,Product,7,Employee Count Rollup (Product),Signup_Employee_Count_Range__c,,Not editable,Formula,This is the employee count value which is calculated by the product team in order to determine OBS 4.0 segmentation,"Use the upper number in the Brex EE Count formula:
Signup_Employee_Count_Range__c = 21_to_50 → set Brex EE Count = 50",Visible to all,No change
,Standard Employee Field,8,Employees,NumberOfEmployees,,Editable,Number,Legacy field - NO LONGER IN USE! Please refer to ZoomInfo EE Count Field (https://brexhq.atlassian.net/browse/CRMX-1228),,Visible to all,
,,,,,,,,,,,
Brex Street,Rollup,0,Brex Street,Brex_Street_text__c,YES,Rollup view - LOCKED- NOT Editable,Formula,SoT for street address on the account. Not editable. View the street address input fields in order to verify source.,"IF ZoomInfo EE Count > 50, ZoomInfo is secondary source

IF ZoomInfo EE Count <50 or NULL, <from BrAD> is secondary source",Visible to all,"Replace ""billing address"" on the account layout and show screenshot instead"
,Manual,1,SFDC Override Street,SFDC_Override_Street__c,YES,**New override field - only editable by admins/managers,Text,"If you think the street address displaying on the account is incorrect, please file a #frontline ticket or report it to your manager in order to have it updated",,Visible to all,Screenshot
,Product,2 or 3,<from BrAD>,Street__c,,Editable only by admins,,,,Visible to all,No change
,Zoominfo,3 or 2,ZoomInfo HQ Steet,ZoomInfo_HQ_Street__c,YES,Editable only by admins,Text,HQ Street Address from ZoomInfo,,Visible to all,Screenshot
,Harmonic,4,Harmonic HQ Street,Harmonic_HQ_Street__c,YES,Editable only by admins,Text,HQ Street Address from Harmonic,,Visible to all,Screenshot
,LinkedIn,5,LinkedIn HQ Street,LinkedIn_HQ_Street__c,Yes,Editable only by admins,Text,HQ Street Address from LinkedIn,,Visible to all,Screenshot
,Clay,6,Clay HQ Street,Clay_HQ_Street__c,YES,Editable only by admins,Text,"This street address is generated by one of the Clay data providers. To investigate the true source, please log in to Clay or reach out to summer_lindman@brex.com",,Visible to all,"On ""other information"" - create ""Clay"" section below YC/Techstars. Screenshot"
,Standard Address,7,Billing Street,BillingAddress,,,,,,,Remove from layout
,,,,,,,,,,,
Brex City,Rollup,0,Brex City,Brex_City_text__c,YES,Rollup view - LOCKED- NOT Editable,Formula,SoT for city on the account. Not editable. View the city input fields in order to verify source.,"IF ZoomInfo EE Count > 50, ZoomInfo is secondary source

IF ZoomInfo EE Count <50 or NULL, <from BrAD> is secondary source",Visible to all,"Replace ""billing address"" on the account layout and show screenshot instead"
,Manual,1,SFDC Override City,SFDC_Override_City__c,YES,**New override field - only editable by admins/managers,Text,"If you think the city displaying on the account is incorrect, please file a #frontline ticket or report it to your manager in order to have it updated",,Visible to all,Screenshot
,Product,2 or 3,<from BrAD>,City__c,,Editable only by admins,,,,Visible to all,No change
,Zoominfo,3 or 2,ZoomInfo HQ City,ZoomInfo_HQ_City__c,YES,Editable only by admins,Text,HQ City from ZoomInfo,,Visible to all,Screenshot
,Harmonic,4,Harmonic HQ City,Harmonic_HQ_City__c,YES,Editable only by admins,Text,HQ City from Harmonic,,Visible to all,Screenshot
,LinkedIn,5,LinkedIn HQ City,LinkedIn_HQ_City__c,Yes,Editable only by admins,Text,HQ City from LinkedIn,,Visible to all,Screenshot
,Clay,6,Clay HQ City,Clay_HQ_City__c,YES,Editable only by admins,Text,"This city is generated by one of the Clay data providers. To investigate the true source, please log in to Clay or reach out to summer_lindman@brex.com",,Visible to all,"On ""other information"" - create ""Clay"" section below YC/Techstars. Screenshot"
,Standard Address,7,Billing City,BillingAddress,,,,,,,Remove from layout
,,,,,,,,,,,
Brex State,Rollup,0,Brex State,Brex_State_text__c,YES,Rollup view - LOCKED- NOT Editable,Formula,SoT for state on the account. Not editable. View the state input fields in order to verify source.,"IF ZoomInfo EE Count > 50, ZoomInfo is secondary source

IF ZoomInfo EE Count <50 or NULL, <from BrAD> is secondary source",Visible to all,"Replace ""billing address"" on the account layout and show screenshot instead"
,Manual,1,SFDC Override State,SFDC_Override_State__c,YES,**New override field - only editable by admins/managers,Text,"If you think the state displaying on the account is incorrect, please file a #frontline ticket or report it to your manager in order to have it updated",,Visible to all,Screenshot
,Product,2 or 3,<from BrAD>,State__c,,Not editable,,,,Visible to all,No change
,Zoominfo,3 or 2,ZoomInfo HQ State,ZoomInfo_HQ_State__c,YES,Editable only by admins,Text,HQ State from ZoomInfo,,Visible to all,Screenshot
,Harmonic,4,Harmonic HQ State,Harmonic_HQ_State__c,,Editable only by admins,,HQ State from Harmonic,,Visible to all,Screenshot
,LinkedIn,5,LinkedIn HQ State,LinkedIn_HQ_State__c,Yes,Editable only by admins,Text,HQ State from LinkedIn,,Visible to all,Screenshot
,Clay,6,Clay HQ State,Clay_HQ_State__c,YES,Editable only by admins,Text,"This state is generated by one of the Clay data providers. To investigate the true source, please log in to Clay or reach out to summer_lindman@brex.com",,Visible to all,"On ""other information"" - create ""Clay"" section below YC/Techstars. Screenshot"
,Standard Address,7,Billing State,BillingAddress,,,,,,,Remove from layout
,,,,,,,,,,,
Brex Country,Rollup,0,Brex Country,Brex_Country_text__c,YES,Rollup view - LOCKED- NOT Editable,Formula,SoT for country on the account. Not editable. View the country input fields in order to verify source.,"IF ZoomInfo EE Count > 50, ZoomInfo is secondary source

IF ZoomInfo EE Count <50 or NULL, <from BrAD> is secondary source",Visible to all,"Replace ""billing address"" on the account layout and show screenshot instead"
,Manual,1,SFDC Override Country,SFDC_Override_Country__c,YES,**New override field - only editable by admins/managers,Text,"If you think the country displaying on the account is incorrect, please file a #frontline ticket or report it to your manager in order to have it updated",,Visible to all,Screenshot
,Product,2 or 3,<from BrAD>,Country__c,,Not editable,,,,Visible to all,No change
,Zoominfo,3 or 2,ZoomInfo HQ Country,ZoomInfo_HQ_Country__c,YES,Editable only by admins,Text,HQ Country from ZoomInfo,,Visible to all,Screenshot
,Harmonic,4,Harmonic HQ Country,Harmonic_HQ_Country__c,YES ,Editable only by admins,Text,HQ Country from Harmonic,,Visible to all,Screenshot
,LinkedIn,5,LinkedIn HQ Country,LinkedIn_HQ_Country__c,Yes,Editable only by admins,Text,HQ Country from LinkedIn,,Visible to all,Screenshot
,Clay,6,Clay HQ Country,Clay_HQ_Country__c,YES,Editable only by admins,Text,"This country is generated by one of the Clay data providers. To investigate the true source, please log in to Clay or reach out to summer_lindman@brex.com",,Visible to all,"On ""other information"" - create ""Clay"" section below YC/Techstars. Screenshot"
,Standard Address,7,Billing Country,BillingAddress,,,,,,,Remove from layout
,,,,,,,,,,,
Brex Zip/Postal Code,Rollup,0,Brex Zip/Postal Code,Brex_Zip_text__c,YES,Rollup view - LOCKED- NOT Editable,Formula,SoT for zip/postal code on the account. Not editable. View the zip/postal code input fields in order to verify source.,"IF ZoomInfo EE Count > 50, ZoomInfo is secondary source

IF ZoomInfo EE Count <50 or NULL, <from BrAD> is secondary source",Visible to all,"Replace ""billing address"" on the account layout and show screenshot instead"
,Manual,1,SFDC Override Zip/Postal Code,SFDC_Override_Zip__c,YES,**New override field - only editable by admins/managers,Text,"If you think the zip/postal code displaying on the account is incorrect, please file a #frontline ticket or report it to your manager in order to have it updated",,Visible to all,Screenshot
,Product,2 or 3,<from BrAD>,Zip__c,,Not editable,,,,Visible to all,No change
,Zoominfo,3 or 2,ZoomInfo HQ Zip/Postal Code,ZoomInfo_HQ_Zip__c,YES,Editable only by admins,Text,HQ Zip or Postal Code from ZoomInfo,,Visible to all,Screenshot
,Harmonic,4,Harmonic HQ Zip/Postal Code,Harmonic_HQ_Zip__c,YES ,Editable only by admins,Text,HQ Zip or Postal Code from Harmonic,,Visible to all,Screenshot
,LinkedIn,5,LinkedIn HQ Zip/Postal Code,LinkedIn_HQ_Zip__c,Yes,Editable only by admins,Text,HQ Zip or Postal Code from LinkedIn,,Visible to all,Screenshot
,Clay,6,Clay HQ Zip/Postal Code,Clay_HQ_Zip__c,YES,Editable only by admins,Text,"This zip/postal code is generated by one of the Clay data providers. To investigate the true source, please log in to Clay or reach out to summer_lindman@brex.com",,Visible to all,"On ""other information"" - create ""Clay"" section below YC/Techstars. Screenshot"
,Standard Address,7,Billing Zip/Postal Code,BillingAddress,,,,,,,Remove from layout
,,,,,,,,,,,
Brex Revenue,Rollup,0,Brex Revenue,Brex_Revenue_currency__c,YES,Rollup view - LOCKED- NOT Editable,Formula,SoT for revenue on the account. Not editable. View the revenue inputs field in order to verify source.,,Visible to all,Screenshot
,Manual,1,SFDC Override Revenue,SFDC_Override_Revenue__c,YES,**New override field - only editable by admins/managers,"Currency (16,2)","If you think the revenue displaying on the account is incorrect, please file a #frontline ticket or report it to your manager in order to have it updated",,Visible to all,Screenshot
,Zoominfo,2,ZoomInfo annual revenue in millions USD,ZoomInfo_raw_revenue_data__c,,Not editable - formula,,,,Visible to all,No change
,Clay,3,Clay Revenue,Clay_Revenue__c,YES,Editable only by admins,"Currency (16,2)","This revenue is generated by one of the Clay data providers. To investigate the true source, please log in to Clay or reach out to summer_lindman@brex.com",,Visible to all,"On ""other information"" - create ""Clay"" section below YC/Techstars. Screenshot"
,LinkedIn,4,LinkedIn Revenue,LinkedIn_Revenue__c,Yes,Editable only by admins,Text,Revenue from LinkedIn,,Visible to all,Screenshot
,,,,,,,,,,,
Brex Is Ecommerce,Rollup,0,Brex Is Ecommerce,Brex_Is_Ecommerce__c,YES,Rollup view - LOCKED- NOT Editable,Formula - output should be a TRUE/FALSE Checkbox,"SoT for ""is ecommerce"". This field determines whether a company falls into the ""is_ecommerce"" region.",,Visible to all,Can replace the current Is Ecommerce field on the account page layout
,Manual,1,SFDC Override Is Ecommerce,SFDC_Override_Is_Ecommerce__c,YES,**New override field - only editable by admins/managers,TRUE/FALSE Checkbox Picklist,"If you think a company is mis-marked as ecomm when it shouldn't be or should be marked as ecomm and is not currently, please file a #systems-help ticket or reach out to your manager",,Visible to all,Screenshot
,LLM,2,LLM Is Ecommerce,LLM_Is_Ecommerce__c,YES,Editable only by system admins,TRUE/FALSE Checkbox Picklist,This e-commerce flag is marked by an LLM web-scraper supported by the data team. Reach out to #data-help with any questions,,Visible to all,"Under ""other information"", create a new section called ""LLM Data"" and place under that: screenshot"
,Clay,3,Is Ecommerce - Clay,Clay_Is_Ecommerce__c,YES,Editable only by system admins,TRUE/FALSE Checkbox Picklist,This e-commerce flag is marked by the https://app.clay.com/workspaces/239721/ clay table.,,Visible to all,Screenshot
,Legacy,4,Is Ecommerce - Legacy,Is_Ecommerce_2__c,NO,Editable only by system admins,Yes/No,"This is the legacy ""is ecommerce"" field. It is calculated based off of ""has_shopping_cart_c"" = 1 OR financial_product_type_c = 'ecommerce' OR luz_revenue_c > 0. If any of these are true, is ecommerce = yes.",,Visible to all,"Move to ""territory details"" screenshot"
,,,,,,,,,,,
Brex Is PE-Backed,Rollup,0,Brex Is PE-Backed,Brex_Is_PE_Backed__c,YES,Rollup view - LOCKED- NOT Editable,Formula - output should be a TRUE/FALSE Checkbox,"SoT for ""PE Backing"". This field determines whether a company is currently or has previously been invested in by a Private Equity firm.",,Visible to all,"Please create a new section under Koala on the Sales tab called ""Private Equity"" https://monosnap.com/file/2z2xOPrhKPMDVahw0XtdyabYTXp3nm

This should be on any startups and GTM layouts as well as System Admin"
,Manual,1,SFDC Override Is PE-Backed,SFDC_Override_Is_PE_Backed__с,YES,"**New override field - unlike the others above, this should be editable by all",TRUE/FALSE Picklist,"If you think a company is mis-marked as PE-backed when it shouldn't be or should be marked as PE-backed and is not currently, please update this field","To create a condition that if they override = TRUE, there must be a value in SFDC_Override_PE_Investors__c. Let's trigger a box to insert data into that field here.

If they override to FALSE, we want to update the Brex Private Equity Investors field so that it is NULL.",Visible to all,
,Snowflake,2 OR 3,Snowflake Is PE-Backed,Snowflake_Is_PE_Backed__c,YES,Editable only by system admins,TRUE/FALSE Picklist,"This field is cacluated in a Snowflake table and compares top private equity firms vs. Harmonic, Crunchbase and ZoomInfo investor data to determine if this company is PE-backed or not",,BrexSFDC,
,Harmonic,,Harmonic Is PE-Backed,Harmonic_Is_PE_Backed__c,YES,Editable only by system admins,Formula - output should be a TRUE/FALSE Checkbox,"This field is calculated from the Harmonic Last Funding Type field. If Harmonic last funding type = Private_Equity or LBO_Buyout, this field = TRUE.","This should be a formula field based on the Harmonic_Last_Funding_Type__c field. If this field CONTAINS ""Private_Equity"" OR ""        
BUYOUT_LBO"", then mark ""TRUE"". I want this to only be a one time update so the first time, Harmonic_Last_Funding_Type contains ""Private Equity"" or ""BUYOUT_LBO"", this should get flipped to ""TRUE"" - if it gets updated again for the same record and no longer contains one of those, I want it to remain TRUE. Is that possible?",Visible to all,
,,,,,,,,,,,
Brex Private Equity Investors,Rollup,0,Brex Private Equity Investors,Brex_PE_Investors__c,YES,Rollup view - LOCKED- NOT Editable,Text Area (255),SoT for PE Investors. Lists all PE firms associated with this company.,"Can we build out logic for this field so that instead of only showing the SFDC_Override_PE_Investors__c value if it's not NULL, concatenate the values of SFDC_Override_PE_Investors__c;Snowflake_PE_Investors",Visible to all,
,Manual,1,SFDC Override PE Investors,SFDC_Override_PE_Investors__c,YES,"**New override field - unlike the others above, this should be editable by all",Text Area (255),"If you think a PE firm that's listed in Brex Private Equity Investors should be removed or added, use this field to edit.",,Visible to all,
,Snowflake,2,Snowflake PE Investors,Snowflake_PE_Investors,YES,Editable only by system admins,Text Area (255),"Calculated field in Snowflake pulling investor information from Crunchbase, ZoomInfo and Harmonic in order to list out all private equity firms associated with this account. ",,Visible to all,
,,,,,,,,,,Visible to all,
Brex LinkedIn Profile URL,Rollup,0,Brex Company LinkedIn Profile URL,Brex_LinkedIn_Profile_URL__c,YES,Rollup view - LOCKED- NOT Editable,Formula,SoT for LinkedIn URL on the account. Not editable. View the LinkedIn URL input fields in order to verify source.,,Visible to all,Below Brex Website on Account Overview Page
,Manual,1,SFDC Override Company LinkedIn Profile URL,SFDC_Override_LinkedIn_Profile_URL__c,YES,"**New override field - unlike the others above, this should be editable by all",URL,"If you think the LinkedIn URL displaying on the account is incorrect, please use this field to update it",,"Visible to all, editable by all","Below SFDC Override Revenue in the ""Override Information"" section of the ""Territory Details"" tab"
,ZoomInfo,2,"Company LinkedIn URL (Please update the label to ""ZoomInfo Company LinkedIn URL"") ",Company_LinkedIn_URL__c,NO,No change,,LinkedIn Profile URL coming from ZoomInfo,,Visible to all,No change
,Clay,3,Clay Company LinkedIn URL,Clay_LinkedIn_URL__c,YES,Editable only by admins,URL,Clay company LinkedIn profile URL,,Visible to all,"In the ""Clay section"" on the ""Other Information"" tab beneath ""Clay Website"""
,,,,,,,,,,,
Questions:,,,,,,,,,,,
1. Do we want to/can we repurpose standard fields as the rollup SoT or do we need to create new fields?,No,,,,,,,,,,
2. Do we want a separate input field for each of these to verify the source? As we do for OBS here.,No,,,,,,,,,,
"3. In talking with RevOps, there's desire to split out the ee count, country and state sources for startups vs. non. Is this possible? ",,,,,,,,,,,
4. How trustworthy/reliable is the BrAD signup data for website? Should this be toward the top or the last source?,,,,,,,,,,,
